,threshold_10_deletedWidthHeightPc_4040_noImagePc_50,threshold_10_deletedWidthHeightPc_5050_noImagePc_50,threshold_20_deletedWidthHeightPc_4040_noImagePc_50,threshold_20_deletedWidthHeightPc_5050_noImagePc_50,threshold_30_deletedWidthHeightPc_4040_noImagePc_50,threshold_30_deletedWidthHeightPc_5050_noImagePc_50,threshold_40_deletedWidthHeightPc_4040_noImagePc_50,threshold_40_deletedWidthHeightPc_5050_noImagePc_50,threshold_50_deletedWidthHeightPc_4040_noImagePc_50,threshold_50_deletedWidthHeightPc_5050_noImagePc_50,threshold_5_deletedWidthHeightPc_4040_noImagePc_50,threshold_5_deletedWidthHeightPc_5050_noImagePc_50,threshold_60_deletedWidthHeightPc_4040_noImagePc_50,threshold_60_deletedWidthHeightPc_5050_noImagePc_50,threshold_70_deletedWidthHeightPc_4040_noImagePc_50
softImpute,0.9761,0.9701,0.975,0.9656,0.9736,0.9655,0.9734,0.967,0.9748,0.969,0.9761,0.9633,0.9744,0.9675,0.9741
impDi,0.975,0.973,0.9763,0.9748,0.9758,0.9728,0.9762,0.9712,0.9764,0.9716,0.9764,0.9711,0.9756,0.9722,0.9764
