,threshold_50_deletedWidthHeightPc_5050_noImagePc_50,threshold_5_deletedWidthHeightPc_4040_noImagePc_50,threshold_5_deletedWidthHeightPc_6060_noImagePc_50,threshold_30_deletedWidthHeightPc_5050_noImagePc_50,threshold_20_deletedWidthHeightPc_5050_noImagePc_50,threshold_10_deletedWidthHeightPc_5050_noImagePc_50,threshold_50_deletedWidthHeightPc_4040_noImagePc_50,threshold_50_deletedWidthHeightPc_6060_noImagePc_50,threshold_5_deletedWidthHeightPc_5050_noImagePc_50,threshold_20_deletedWidthHeightPc_6060_noImagePc_50,threshold_30_deletedWidthHeightPc_4040_noImagePc_50,threshold_20_deletedWidthHeightPc_4040_noImagePc_50,threshold_30_deletedWidthHeightPc_6060_noImagePc_50,threshold_10_deletedWidthHeightPc_6060_noImagePc_50,threshold_10_deletedWidthHeightPc_4040_noImagePc_50
softImpute,0.7783,0.8877,0.5974,0.8853,0.886,0.6,0.89,0.6137,0.8875,0.8711,0.8675,0.6496,0.873,0.874,0.7179
impDi,0.9361,0.8862,0.8806,0.9217,0.9064,0.8908,0.9263,0.9248,0.8893,0.8976,0.9103,0.8982,0.9178,0.8827,0.8868
